Gene,cluster,padj
Fam189a2,4,0.00843882
Dad1,4,0.030420792
Gm6044,4,0.028868445
Gm14414,4,0.006942505
Cltb,4,0.021285613
Gm29739,4,0.012200584
Nelfa,4,0.005451237
X8430422M14Rik,4,0.034264165
Osbp,4,0.011725245
Gm12734,4,0.022364982
Gm8870,4,0.000950715
Gm24082,4,0.000167547
Gm42636,4,0.017858824
Gm48768,4,0.006587977
Gm42981,4,0.042423246
X1700096K18Rik,4,0.039008598
Arfrp1,4,0.011943265
Gm9762,4,0.04266693
Gm11997,4,0.000264747
Prkacb,4,0.013842146
Rpl7a.ps10,4,0.031358703
Ahsa1,4,0.009093778
Tor1aip2,4,0.012986151
Sh3gl1,4,0.045733802
Olfr1031,4,0.029829538
Hnrnpa2b1,4,0.002973145
Irgm1,4,0.046778753
St7,4,0.01259593
Gm7700,4,0.034266134
Fastkd5,4,0.036208398
Tmbim1,4,0.000395397
Mecom,4,0.018415195
Amd1,4,0.000421822
Mks1,4,0.003763654
Hnrnpul2,4,0.023216517
Gm37960,4,0.02977975
Gm13311,4,0.012138752
Hist2h3c2,4,0.032680765
Gm44154,4,0.028678959
Ubqln4,4,0.017790386
Gm6651,4,0.032221197
Bnip2,4,0.0015072
Dtd2,4,0.048994209
Gm6341,4,0.002087611
Gm29490,4,0.011747541
Dusp27,4,0.042565812
Adh1,4,0.034696328
C230035I16Rik,4,0.014193024
Gm14438,4,0.045657283
Gm13797,4,0.004922591
Pogz,4,0.025858129
AC116841.1,4,0.000166539
Gm2272,4,0.027899608
Gm7420,4,0.034945212
Dennd1a,4,0.010069078
Irs1,4,0.012763162
Esd.ps,4,0.006815061
Zfp882,4,0.007234545
Gm12183,4,0.025719589
Zfp704,4,0.003435592
D7Ertd443e,4,0.019179875
Gm8425,4,0.005232667
Prkce,4,0.005289508
Gm12311,4,0.043578014
Gm5995,4,0.008531457
Cbfb,4,0.004454954
Tnrc6a,4,0.004352013
Rer1,4,0.017878028
Gm13730,4,0.007800627
Gm13733,4,0.008792109
X9130019O22Rik,4,0.008197189
Gm10645,4,0.037189309
Gm10642,4,0.009497813
Gm14016,4,0.016814272
Gm40477,4,0.031094237
Gm26795,4,0.009939956
Mtmr1,4,0.015678724
Jkamp,4,0.01987233
Gm13252,4,0.029993934
Wnk1,4,0.042384199
Got2,4,0.021285613
Cdkn1b,4,0.031709675
Gm49214,4,0.002105613
Ap1s1,4,0.005249089
Klk8,4,0.024999715
Gm45769,4,0.017559936
Gm18609,4,0.010069078
Alkbh3,4,0.013569699
Myocd,4,0.019854763
X4930403P22Rik,4,0.033086468
Mir186,4,0.027295655
Erf,4,0.004405313
Entpd5,4,0.004398194
Rpl31.ps20,4,0.035091551
Edc3,4,0.034066519
Arrdc3,4,0.042384199
Exd2,4,0.006595988
Aopep,4,0.047422469
Siah2,4,0.03705245
Gm34144,4,0.004217747
Lhfp,4,0.014955998
Mospd1,4,0.009648532
Gm47949,4,0.019221041
Arfgef1,4,0.010333324
Kalrn,4,0.002973145
Gm47099,4,0.022254858
Gm16381,4,0.003497343
Rad9b,4,0.007927618
Gm5390,4,0.030404713
Gm37713,4,0.047581305
Kif16b,4,0.016814272
Gm48153,4,0.000478176
Gm44215,4,0.046676183
Gm43973,4,0.01987233
Gm37503,4,0.040308462
Peg13,4,0.045942775
Afap1,4,0.043260371
Traf2,4,0.022898858
Yy1,4,0.009550736
Gm41144,4,0.025422959
Gsk3a,4,0.020313008
Ap1g1,4,0.009056374
Nom1,4,0.023255194
Aldh1a1,4,0.007604857
Wdr26,4,0.023679885
Gm9318,4,0.040805846
Gm5422,4,0.005566556
Gm45311,4,0.007157102
X4930584E12Rik,4,0.001507715
Atp8a1,4,0.030337927
Gng11,4,0.011045198
Dgat1,4,0.006580855
